Time/s,Distance/m
0,0.302916741429696
0.03,0.319260123712329
0.06,0.285551240796042
0.09,0.162201465680929
0.12,0.106391317470784
0.15,0.029329043043734
0.18,-0.128736344069937
0.21,-0.132713855674087
0.24,-0.198215542153049
0.27,-0.222898277821221
0.3,-0.140315100907382
0.33,-0.156566686313193
0.36,-0.059790206848655
0.39,0.023347214854614
0.42,0.176761947474979
0.45,0.214512107276837
0.48,0.247451542385183
0.51,0.325768120494393
0.54,0.277012082645369
0.57,0.21108821590803
0.6,0.210778182789398
0.63,0.134069882293951
0.66,-0.035607430532634
0.69,-0.088102304917199
0.72,-0.124685321714447
0.75,-0.231502069265738
0.78,-0.206830506857517
0.810000000000001,-0.193038627493991
0.84,-0.158576711399086
0.87,-0.051132866923469
0.900000000000001,0.01618447521233
0.930000000000001,0.127796974008185
0.960000000000001,0.2309575684543
0.990000000000001,0.299714216442515
1.02,0.340785536005403
1.05,0.262527225555121
1.08,0.27144971155759
1.11,0.240465798250701
1.14,0.07863669026096
1.17,0.003584033952328
1.2,-0.085236099108691
1.23,-0.162533763973184
1.26,-0.213616610357065
1.29,-0.200206339655456
1.32,-0.164282545444
1.35,-0.15075182858125
1.38,-0.026553252476597
1.41,0.05297949925752
1.44,0.150282239365064
1.47,0.240564522493599
1.5,0.269263988719417
1.53,0.262888097532818
1.56,0.352242124893452
1.59,0.293671814926125
1.62,0.175471628653149
1.65,0.162810684214465
1.68,0.031800897646334
1.71,-0.091254740548089
1.74,-0.155011741387612
1.77,-0.196942994524583
1.8,-0.16006191320475
1.83,-0.242939078447764
1.86,-0.166237186150485
1.89,-0.093373369234514
1.92,-0.018338757296391
1.95,0.074956565189533
1.98,0.227035001401096
2.01,0.245108697968824
