Time/s,Distance/m
0,0.269150056480425
0.03,0.280612886652386
0.06,0.27049785383373
0.09,0.11812557224808
0.12,0.02670942366419
0.15,-0.062236336427277
0.18,-0.113282559826597
0.21,-0.14977151577571
0.24,-0.253076988232483
0.27,-0.210748124956072
0.3,-0.182091975287004
0.33,-0.06627487319612
0.36,0.049651940225425
0.39,0.079498435389933
0.42,0.144871751465845
0.45,0.288919581645192
0.48,0.278006775657409
0.51,0.353397008931896
0.54,0.297202321276204
0.57,0.168730711095317
0.6,0.107759497726575
0.63,-0.0035282843131
0.66,-0.030780580621271
0.69,-0.157299445435444
0.72,-0.159414237724957
0.75,-0.221303976762198
0.78,-0.203155791010683
0.810000000000001,-0.125767767871671
0.84,-0.089491215413778
0.87,0.012188991031162
0.900000000000001,0.14080499913504
0.930000000000001,0.264121915300405
0.960000000000001,0.273981640090231
0.990000000000001,0.334503941606729
1.02,0.294907958106698
1.05,0.233083946100529
1.08,0.189087101612211
1.11,0.04675598977833
1.14,-0.056157592206082
1.17,-0.066760381338702
1.2,-0.170771735093486
1.23,-0.161071393215718
1.26,-0.176185442870338
1.29,-0.180371247205357
1.32,-0.124848490245968
1.35,-0.062298999037777
1.38,0.10345991688154
1.41,0.209145351621428
1.44,0.226063746388183
1.47,0.277076475618315
1.5,0.341083272581466
1.53,0.267790994949448
1.56,0.217023604676631
1.59,0.157303664189127
1.62,0.066983651753273
1.65,-0.027899419333805
1.68,-0.152904184364149
1.71,-0.195300770307164
1.74,-0.168561112701028
1.77,-0.224793232747581
1.8,-0.100580001916138
1.83,-0.029722230929685
1.86,0.05159321204933
1.89,0.123321127573346
1.92,0.198932657607681
1.95,0.266654202796614
1.98,0.331648645606122
2.01,0.258610045004122
