Time/s,Distance/m
0,0.228796886890904
0.03,0.205517164546076
0.06,0.150956297498794
0.09,0.085678462932865
0.12,0.012163254126776
0.15,-0.089781876676516
0.18,-0.154972236192568
0.21,-0.204166506651387
0.24,-0.226085572192859
0.27,-0.220348218045378
0.3,-0.177469192463707
0.33,-0.130214011311952
0.36,-0.049108055577693
0.39,0.045042833574671
0.42,0.116250332287849
0.45,0.191921187783545
0.48,0.220692084306136
0.51,0.2289255321736
0.54,0.199020495846123
0.57,0.151070784978896
0.6,0.062168867506501
0.63,-0.026745764779634
0.66,-0.079071795240698
0.69,-0.168580164407223
0.72,-0.206770612503984
0.75,-0.227881239357076
0.78,-0.213602738368076
0.810000000000001,-0.176067739308964
0.84,-0.124528492364484
0.87,-0.053938025559562
0.900000000000001,0.067084226603136
0.930000000000001,0.128489719487056
0.960000000000001,0.196108982684244
0.990000000000001,0.224994372488071
1.02,0.220544679811213
1.05,0.199747456487359
1.08,0.135400010074754
1.11,0.074701054983907
1.14,-0.040678478906848
1.17,-0.093815143690609
1.2,-0.161555606065722
1.23,-0.216666833739913
1.26,-0.227418060758391
1.29,-0.203650569663072
1.32,-0.178647807601203
1.35,-0.079957653476163
1.38,0.00360079951717
1.41,0.047037933987966
1.44,0.178193705050676
1.47,0.215460970305282
1.5,0.22890142785483
1.53,0.221423132760032
1.56,0.182910734627869
1.59,0.137363122741518
1.62,0.023607797138665
1.65,0.006370392259339
1.68,-0.092629884486619
1.71,-0.163300281409658
1.74,-0.21462130920702
1.77,-0.225722808864224
1.8,-0.191816050768465
1.83,-0.15151380691179
1.86,-0.077668798136063
1.89,-0.018073562855101
1.92,0.050595584260689
1.95,0.129986422373959
1.98,0.214887922904843
2.01,0.224145079124032
